timestamp_sec,hour,node_id,pressure_bar,flow_rate_lps,motor_amps,grid_voltage_v,fault_type,is_fault
57600,16,JUNC_01,3.68,24.02,18.5,226.4,leak,1
57600,16,JUNC_02,3.079,24.01,18.5,225.2,leak,1
57600,16,JUNC_03,2.691,23.99,18.5,220.5,leak,1
57600,16,LEAK_NODE,3.794,23.96,18.5,220.8,leak,1
61200,17,JUNC_01,3.566,28.78,19.7,223.8,leak,1
61200,17,JUNC_02,2.826,28.79,19.7,214.3,leak,1
61200,17,JUNC_03,2.388,28.8,19.7,222.4,leak,1
61200,17,LEAK_NODE,3.734,28.82,19.7,226.7,leak,1
64800,18,JUNC_01,3.715,21.58,17.9,221.6,leak,1
64800,18,JUNC_02,3.227,21.64,17.9,214.5,leak,1
64800,18,JUNC_03,2.832,21.6,17.9,218.2,leak,1
64800,18,LEAK_NODE,3.818,21.56,17.9,222.7,leak,1
68400,19,JUNC_01,3.85,12.03,15.5,218.3,leak,1
68400,19,JUNC_02,3.509,12.04,15.5,215.3,leak,1
68400,19,JUNC_03,3.221,11.99,15.5,224.4,leak,1
68400,19,LEAK_NODE,3.879,12.01,15.5,219.3,leak,1
72000,20,JUNC_01,3.863,7.22,14.3,213.7,leak,1
72000,20,JUNC_02,3.657,7.2,14.3,220.4,leak,1
72000,20,JUNC_03,3.346,7.19,14.3,225.9,leak,1
72000,20,LEAK_NODE,3.882,7.19,14.3,224.7,leak,1
75600,21,JUNC_01,3.933,4.77,13.7,217.9,leak,1
75600,21,JUNC_02,3.699,4.82,13.7,223.5,leak,1
75600,21,JUNC_03,3.385,4.79,13.7,217.8,leak,1
75600,21,LEAK_NODE,3.917,4.77,13.7,219.9,leak,1
79200,22,JUNC_01,3.941,3.58,13.4,222.3,leak,1
79200,22,JUNC_02,3.736,3.57,13.4,212.0,leak,1
79200,22,JUNC_03,3.406,3.6,13.4,226.3,leak,1
79200,22,LEAK_NODE,3.909,3.6,13.4,219.1,leak,1
82800,23,JUNC_01,3.921,2.43,13.1,215.3,leak,1
82800,23,JUNC_02,3.691,2.42,13.1,219.0,leak,1
82800,23,JUNC_03,3.427,2.4,13.1,218.3,leak,1
82800,23,LEAK_NODE,3.926,2.39,13.1,219.1,leak,1
86400,24,JUNC_01,3.933,3.57,13.4,221.5,leak,1
86400,24,JUNC_02,3.726,3.57,13.4,210.3,leak,1
86400,24,JUNC_03,3.401,3.57,13.4,212.3,leak,1
86400,24,LEAK_NODE,3.908,3.61,13.4,221.9,leak,1
